Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Siverek Tavası;C2021/000313;13.08.2021;1360;23.05.2023;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Büyükşehir Belediyesi;Tescilli
Sivrihisar Arabaşı;C2021/000300;3.08.2021;1033;21.02.2022;Mahreç İşareti;Yemekler ve çorbalar;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar Cebesi;C2019/215;23.12.2019;554;5.10.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Eskişehir;Eskişehir Ticaret Odası;Tescilli
Sivrihisar Dövme Sucuğu;C2019/036;15.03.2019;578;26.10.2020;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar Höşmerim Tatlısı;C2019/180;12.11.2019;547;28.09.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar Kelem Dolması;C2021/000304;7.08.2021;1189;7.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar Kilimi;C2021/000309;11.08.2021;1077;14.04.2022;Mahreç İşareti;Halılar ve kilimler;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar Muska Baklavası;C2017/022;12.04.2017;381;5.09.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar Sarkası;C2021/000310;11.08.2021;1161;5.07.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Eskişehir;Sivrihisar Belediyesi;Tescilli
Sivrihisar İncili Küpe;C2019/053;6.05.2019;541;17.09.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Eskişehir;Eskişehir Ticaret Odası;Tescilli
Sof Domatesi;C2021/000510;9.12.2021;1512;25.12.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Soma Helvası;C2021/000294;30.07.2021;1438;4.08.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa;Soma Kaymakamlığı;Tescilli
Soma Zeytinyağı;C2021/000293;30.07.2021;1436;4.08.2023;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Manisa;Soma Kaymakamlığı;Tescilli
Sorgun Yağlısı;C2020/013;15.01.2020;672;12.02.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Yozgat;Sorgun Belediyesi;Tescilli
Sorkun Çömleği;C2020/077;11.03.2020;774;27.05.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Eskişehir;Eskişehir Ticaret Odası;Tescilli
Soğanlı Bez Bebekleri;C2003/014;28.04.2003;64;5.01.2005;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kayseri;Yeşilhisar Kaymakamlığı;Tescilli
Sultandağı Gılli Kirazı;C2018/194;18.10.2018;645;8.01.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar;Sultandağı Kaymakamlığı;Tescilli
Sultandağı Kirazı;C2018/195;18.10.2018;644;8.01.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar;Sultandağı Kaymakamlığı;Tescilli
Sultanhisar Çileği;C2018/181;17.09.2018;613;30.11.2020;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın;Sultanhisar Ziraat Odası;Tescilli
Suluova Soğanı;C2021/000414;8.10.2021;1207;5.09.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya;Suluova Ticaret ve Sanayi Odası;Tescilli
Suruç Narı;C2020/201;17.07.2020;812;27.07.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa;Suruç Belediyesi;Tescilli
Susurluk Ayranı;C2013/019;27.02.2013;238;20.11.2017;Mahreç İşareti;Alkolsüz içecekler;Balıkesir;Susurluk Ticaret Odası;Tescilli
Susurluk Tostu;C2013/020;27.02.2013;239;20.11.2017;Mahreç İşareti;Yemekler ve çorbalar;Balıkesir;Susurluk Ticaret Odası;Tescilli
Suşehri Kuru Fasulyesi;C2021/000104;5.03.2021;1147;10.06.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas;Suşehri Belediyesi;Tescilli
Söke Kulak Tatlısı;C2023/000250;25.09.2023;1755;25.07.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Söke Ticaret Odası;Tescilli
Söke Kulak Çorbası;C2024/000318;13.11.2024;1761;18.08.2025;Mahreç İşareti;Yemekler ve çorbalar;Aydın;Söke Ticaret Borsası;Tescilli
Söke Körüklü Çizmesi;C2017/025;11.04.2017;340;10.04.2018;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Aydın;Söke Belediyesi;Tescilli
Söke Pamuğu;C2021/000494;26.11.2021;1381;8.06.2023;Mahreç İşareti;Diğer ürünler;Aydın;Söke Ticaret Borsası;Tescilli
Söke Peksimeti;C2023/000023;13.01.2023;1663;21.11.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Söke Tarih Araştırmaları ve Kültür Değerlerini Koruma Derneği, Aydın Söke İlçe Milli Eğitim Müdürlüğü;Tescilli
Söke Pidesi;C2021/000505;6.12.2021;1248;31.10.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Söke Ticaret Borsası;Tescilli
Söke Tahinli Pidesi;C2023/000120;27.03.2023;1521;18.01.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Söke Ticaret Odası;Tescilli
Söke Tatlı Maya Ekmeği;C2020/406;19.11.2020;842;9.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Söke Ticaret Odası;Tescilli
Sümer Kars El Halısı;C1996/017;21.06.1996;12;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kars;Kars Belediyesi;Tescilli
Süper İnce Kilim;C1996/030;21.06.1996;24;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Afyonkarahisar;Sandıklı Belediyesi;Tescilli
Sürmene Bıçağı;C2017/111;25.08.2017;329;22.02.2018;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Trabzon;Sürmene Belediyesi;Tescilli
Sürmene Pidesi;C2019/068;10.06.2019;553;29.09.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Trabzon;Sürmene Esnaf ve Sanatkarlar Odası;Tescilli
Sütçüler Kekik Yağı;C2023/000018;11.01.2023;1536;6.02.2024;Menşe Adı;Diğer ürünler;Isparta;Isparta İl Özel İdaresi;Tescilli
Sütçüler Kekiği;C2023/000017;11.01.2023;1619;29.07.2024;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Isparta;Isparta İl Özel İdaresi;Tescilli
Sıhke Kavunu;C2021/000277;8.07.2021;1413;18.07.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van;Van Ticaret Borsası;Tescilli
Sındırgı Kornişonu;C2020/467;31.12.2020;1403;6.07.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Sındırgı Belediyesi;Tescilli
Sındırgı Çıtır Kavun;C2020/466;31.12.2020;1491;30.10.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Sındırgı Belediyesi;Tescilli
Talas Zincidere Kuru Kaymağı;C2022/000413;23.11.2022;1453;21.08.2023;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Kayseri;Kayseri Üniversitesi, Talas Belediyesi;Tescilli
Talas Çörekotlu Çömlek Peyniri;C2022/000412;23.11.2022;1560;12.03.2024;Mahreç İşareti;Peynirler;Kayseri;Kayseri Üniversitesi, Talas Belediyesi;Tescilli
Tamzara Dokuması;C2018/180;31.08.2018;460;30.09.2019;Mahreç İşareti;Dokumalar;Giresun;Şebinkarahisar Belediyesi;Tescilli
Tandırda Van Balığı / Tandırda Van İnci Kefali;C2021/000088;1.03.2021;1004;20.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Tapan Bıçağı;C2017/207;20.11.2017;490;10.03.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Adana;Kozan Ticaret Odası;Tescilli
Taraklı Enginarı;C2022/000046;4.02.2022;1253;10.11.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Taraklı Uğut Tatlısı;C2020/164;2.07.2020;809;27.07.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Taraklı Şimşir Kaşık;C2020/181;8.07.2020;830;9.08.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Taraklı Şimşir Tarak;C2020/182;8.07.2020;831;9.08.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Tarsus Beyazı Üzüm (Topacık);C2003/024;22.09.2003;69;14.06.2005;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin;Tarsus Belediyesi;Tescilli
Tarsus Biberiyesi;C2021/006;6.01.2021;1018;3.02.2022;Mahreç İşareti;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Mersin;Tarsus Belediyesi, Tarsus Orman İşletme Müdürlüğü;Tescilli
Tarsus Fındık Lahmacunu;C2019/115;2.09.2019;538;17.09.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Mersin;Tarsus Ticaret ve Sanayi Odası;Tescilli
Tarsus Humusu;C2017/047;26.05.2017;226;1.11.2017;Mahreç İşareti;Yemekler ve çorbalar;Mersin;Tarsus Ticaret ve Sanayi Odası;Tescilli
Tarsus Kebabı;C2019/152;21.10.2019;539;17.09.2020;Mahreç İşareti;Yemekler ve çorbalar;Mersin;Tarsus Ticaret ve Sanayi Odası;Tescilli
Tarsus Sarıulak Zeytini;C2017/030;18.04.2017;345;16.04.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin;Tarsus Ticaret Borsası;Tescilli
Tarsus Sarıulak Zeytinyağı;C2020/098;21.04.2020;767;25.05.2021;Menşe Adı;Tereyağı dâhil katı ve sıvı yağlar;Mersin;Tarsus Ticaret Borsası;Tescilli
Tarsus Yayla Bandırması;C2004/016;10.12.2004;105;4.12.2008;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Mersin;Tarsus Belediyesi;Tescilli
Tarsus Şalgamı;C2004/018;26.11.2004;84;8.02.2007;Mahreç İşareti;Alkolsüz içecekler;Mersin;Tarsus Belediyesi;Tescilli
Tavas Baklavası;C2016/110;16.12.2016;375;9.08.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Denizli;Tavas Belediyesi;Tescilli
Tavas Yanık Koyun Yoğurdu;C2023/000357;28.12.2023;1602;25.06.2024;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Denizli;Tavas Belediyesi;Tescilli
Tavşanlı Güveci / Tavşanlı Göveci;C2021/000268;6.07.2021;1126;27.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Kütahya;Tavşanlı Belediyesi;Tescilli
Tavşanlı Leblebisi;C2002/021;9.07.2002;60;6.09.2004;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kütahya;Tavşanlı Ticaret ve Sanayi Odası;Tescilli
Taşkale Halısı;C2022/000287;6.09.2022;1332;30.01.2023;Mahreç İşareti;Halılar ve kilimler;Karaman;Karaman İl Kültür ve Turizm Müdürlüğü;Tescilli
Taşköprü Kuyu Kebabı;C2012/081;3.07.2012;197;28.07.2016;Mahreç İşareti;Yemekler ve çorbalar;Kastamonu;Taşköprü Belediyesi;Tescilli
Taşköprü Sarımsağı;C2009/010;28.05.2009;135;15.06.2010;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu;Taşköprü Belediyesi;Tescilli
Taşpınar El Halısı;C1996/012;21.06.1996;7;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Aksaray;Taşpınar Belediyesi;Tescilli
Tefenni Rezenesi;C2020/113;21.05.2020;881;6.09.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur;Burdur Tefenni Kaymakamlığı;Tescilli
Tekirdağ Bulama;C2022/000480;30.12.2022;1678;24.12.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tekirdağ;Süleymanpaşa Belediyesi;Tescilli
Tekirdağ Köftesi;C2016/010;5.02.2016;517;7.08.2020;Mahreç İşareti;Yemekler ve çorbalar;Tekirdağ;Tekirdağ Ticaret ve Sanayi Odası;Tescilli
Tekirdağ Peynir Helvası;C2016/011;5.02.2016;525;9.09.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tekirdağ;Tekirdağ Ticaret ve Sanayi Odası;Tescilli
Tekirdağ Soğanı;C2021/040;29.01.2021;1228;21.09.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tekirdağ;Tekirdağ Ticaret ve Sanayi Odası;Tescilli
Tekirdağ Yapıncak Salamura Asma Yaprağı;C2019/057;13.05.2019;584;28.10.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tekirdağ;Süleymanpaşa Ziraat Odası;Tescilli
Terme Pidesi;C2008/022;31.03.2008;129;2.03.2010;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun;Özler Pide ve Çorba Salonu Otomotiv İnşaat Arıcılık Sanayi ve Ticaret Limited Şirketi;Tescilli
Tillo Heriresi;C2021/000504;6.12.2021;1347;17.04.2023;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Siirt;Siirt İl Tarım ve Orman Müdürlüğü;Tescilli
Tire Beledi Dokuması;C2020/061;28.02.2020;630;17.12.2020;Mahreç İşareti;Dokumalar;İzmir;Tire Ticaret Odası;Tescilli
Tire Şiş Köfte;C2020/092;27.03.2020;671;12.02.2021;Mahreç İşareti;Yemekler ve çorbalar;İzmir;Tire Ticaret Odası;Tescilli
Tokat Aynalı Çarık;C2023/000181;23.06.2023;1696;4.02.2025;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Tokat;Tokat İl Milli Eğitim Müdürlüğü;Tescilli
Tokat Bez Sucuk;C2018/142;27.06.2018;990;3.01.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Tokat;Tokat Ticaret ve Sanayi Odası;Tescilli
Tokat Bileziği / Tokat Mengil Kolluğu;C2021/000094;3.03.2021;819;6.08.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Tokat;Tokat Ticaret ve Sanayi Odası;Tescilli
Tokat Dive Dokuması;C2023/000198;2.08.2023;1778;22.09.2025;Mahreç İşareti;Dokumalar;Tokat;Tokat İl Milli Eğitim Müdürlüğü;Tescilli
Tokat Ekmeği;C2021/000212;4.05.2021;896;17.09.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat;Tokat Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Tokat Honçası;C2021/000096;3.03.2021;931;26.10.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Tokat;Tokat Ticaret ve Sanayi Odası;Tescilli
Tokat Karayaka Kuzu Eti;C2022/000129;18.04.2022;1542;19.02.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Tokat;Tokat İli Damızlık Koyun- Keçi Yetiştiricileri Birliği;Tescilli
Tokat Kebabı;C2013/077;26.08.2013;188;31.07.2015;Mahreç İşareti;Yemekler ve çorbalar;Tokat;Tokat Ticaret ve Sanayi Odası;Tescilli
Tokat Kızık Kilimi;C2023/000171;14.06.2023;1673;19.12.2024;Mahreç İşareti;Halılar ve kilimler;Tokat;Tokat İl Milli Eğitim Müdürlüğü;Tescilli
Tokat Narince Salamura Asma Yaprağı;C2017/054;10.07.2017;420;28.02.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat;Tokat Ziraat Odası;Tescilli
Tokat Perpereli Küpesi / Tokat Pırpırlı Küpesi;C2021/000097;3.03.2021;877;27.08.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Tokat;Tokat Ticaret ve Sanayi Odası;Tescilli
Tokat Yazması;C2017/165;1.11.2017;484;26.02.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Tokat;Tokat Belediyesi;Tescilli
Tokat Yağlısı;C2021/000213;4.05.2021;897;17.09.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat;Tokat Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Tokat Çöreği;C2021/000211;4.05.2021;895;17.09.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat;Tokat Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Tokat Üzüm Tarhanası;C2023/000109;15.03.2023;1612;9.07.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat;Tokat Ticaret ve Sanayi Odası;Tescilli
Tomarza Kabak Çekirdeği;C2011/043;11.07.2011;185;23.09.2014;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri;Tomarza İlçesi Kabak (Kabak Çekirdeği) Üreticileri Birliği;Tescilli
Tonus Köftesi;C2021/000515;14.12.2021;1400;4.07.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Sivas;Altınyayla Belediyesi;Tescilli
Tonya Tereyağı;C2017/240;18.12.2017;380;18.08.2018;Menşe Adı;Tereyağı dâhil katı ve sıvı yağlar;Trabzon;Tonya Belediyesi;Tescilli
Torbalı Kuru Domatesi;C2021/000280;14.07.2021;1196;18.08.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;TORBALI TİCARET ODASI;Tescilli
Tortum Ekşi Pestili;C2022/000112;25.03.2022;1528;29.01.2024;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Erzurum;Tortum Belediyesi;Tescilli
Tosya Bıçkısı;C2017/227;12.12.2017;377;15.08.2018;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kastamonu;Tosya Kaymakamlığı;Tescilli
Tosya Kıl Telası;C2020/214;6.08.2020;832;9.08.2021;Mahreç İşareti;Dokumalar;Kastamonu;Tosya Ticaret ve Sanayi Odası;Tescilli
Tosya Kıstısı;C2019/021;26.02.2019;481;13.01.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kastamonu;Tosya Ticaret ve Sanayi Odası;Tescilli
Tosya Pirinci;C2014/069;12.11.2014;230;8.11.2017;Menşe Adı;Diğer ürünler;Kastamonu;Tosya Belediyesi;Tescilli
Trabzon Kazaziyesi;C2016/101;8.11.2016;231;9.11.2017;Menşe Adı;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Trabzon;Trabzon Kuyumcu ve Saatçiler Odası;Tescilli
Trabzon Kuymağı;C2023/000128;7.04.2023;1644;2.10.2024;Mahreç İşareti;Yemekler ve çorbalar;Trabzon;Trabzon Ticaret ve Sanayi Odası;Tescilli
Trabzon Telkariye Ve Hasırı;C2006/028;22.09.2006;94;4.01.2008;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Trabzon;Trabzon Kuyumcu ve Saatçiler Odası;Tescilli
Tufanbeyli Kuru Fasulyesi;C2021/000184;12.04.2021;1330;30.01.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana;Kozan Ticaret Odası;Tescilli
Tunceli Sarımsağı;C2013/024;18.03.2013;471;19.11.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tunceli;Tunceli İl Tarım ve Orman Müdürlüğü;Tescilli
Tunceli Şorbik Çorbası;C2017/105;23.08.2017;285;18.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Tunceli;Tunceli Esnaf ve Sanatkârlar Odası;Tescilli
Turhal Yoğurtmacı;C2012/117;31.07.2012;181;28.01.2014;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat;Turhal Ticaret ve Sanayii Odası;Tescilli
Türk Defnesi;C2020/199;16.07.2020;854;18.08.2021;Mahreç İşareti;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Türkiye;Tarım ve Orman Bakanlığı Orman Genel Müdürlüğü;Tescilli
Türk Rakısı;C1996/031;25.12.1996;25;14.11.1997;Menşe Adı;Biralar ve diğer alkollü içkiler;Türkiye;(Tekel) Tütün, Tütün Mamulleri. Tuz ve Alkol İşletmeleri Genel Müdürlüğü;Tescilli
Türk Tazısı;C2001/005;3.05.2001;41;10.12.2002;Menşe Adı;Diğer ürünler;Türkiye;Askeri Veteriner Okulu ve Eğitim Me. Komutanlığı;Tescilli
Türk Çam Balı;C2022/000159;31.05.2022;1756;29.07.2025;Mahreç İşareti;Bal;;Ege Tarımsal Araştırma Enstitüsü;Tescilli
Türkmen El Halısı;C1996/014;21.06.1996;9;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Afyonkarahisar;Sandıklı Belediyesi;Tescilli
Ula Sarımsağı;C2023/000119;24.03.2023;1626;6.08.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla;Muğla Ticaret ve Sanayi Odası;Tescilli
Ulaş Etli Pidesi;C2018/094;5.04.2018;502;14.07.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sivas;Ulaş Kaymakamlığı;Tescilli
Ulaş Yaprak Döneri;C2018/095;6.04.2018;503;14.07.2020;Mahreç İşareti;Yemekler ve çorbalar;Sivas;Ulaş Kaymakamlığı;Tescilli
Uluborlu Banağı;C2017/053;17.07.2017;327;15.02.2018;Mahreç İşareti;Yemekler ve çorbalar;Isparta;Uluborlu Belediyesi;Tescilli
Uluborlu Kirazı;C2018/172;28.08.2018;577;26.10.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta;Uluborlu Belediyesi;Tescilli
Uluborlu Kuyruğu Sulu Böreği;C2020/090;24.03.2020;1247;28.10.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Isparta;Uluborlu Belediyesi;Tescilli
Uluborlu Çeki Oyası;C2021/000080;25.02.2021;1100;9.05.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Isparta;Uluborlu Belediyesi;Tescilli
Urfa (Şanlıurfa) Frenk Çömleği;C2017/098;22.08.2017;253;1.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) Külünçesi;C2017/097;22.08.2017;297;27.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) Lahmacunu (Kıymalı Ekmeği);C2013/060;2.05.2013;353;29.05.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) Patlıcanlı Kebabı;C2013/059;2.05.2013;351;21.05.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) Pencer (Pazı) Boranısı;C2017/091;16.08.2017;316;29.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) Su Kabağı Yemeği;C2017/090;16.08.2017;328;21.02.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) Üzlemeli Pilavı;C2017/106;24.08.2017;246;28.11.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa (Şanlıurfa) İsot Çömleği;C2017/099;22.08.2017;254;1.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Aya Köftesi / Şanlıurfa Aya Köftesi;C2022/000300;13.09.2022;1362;24.05.2023;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Büyükşehir Belediyesi;Tescilli
Urfa Ağzı Açık / Şanlıurfa Ağzı Açık;C2021/000237;8.06.2021;1154;22.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa;Şanlıurfa Büyükşehir Belediyesi;Tescilli
Urfa Ciğer Kebabı;C2012/086;9.07.2012;323;12.01.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Eşkili;C2013/057;2.05.2013;215;9.06.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Haşhaş Kebabı / Şanlıurfa Haşhaş Kebabı;C2012/087;9.07.2012;275;13.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Kazan Kebabı / Şanlıurfa Kazan Kebabı;C2013/062;2.05.2013;403;26.12.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
